case_id,Ft,Fh2,NO3In_H2O_Flow,NO3In_CL_Flow,NO3In_NA_Flow,NO3In_NO3_Flow,NO3In_SO4_Flow
182,8669.166666666666,7.5,7772.6881416666665,462.9335,337.14389166666666,80.18979166666665,16.211341666666666
183,8669.166666666666,7.916666666666667,7772.6881416666665,462.9335,337.14389166666666,80.18979166666665,16.211341666666666
184,8669.166666666666,8.333333333333334,7772.6881416666665,462.9335,337.14389166666666,80.18979166666665,16.211341666666666
185,8669.166666666666,8.75,7772.6881416666665,462.9335,337.14389166666666,80.18979166666665,16.211341666666666
186,8669.166666666666,9.166666666666668,7772.6881416666665,462.9335,337.14389166666666,80.18979166666665,16.211341666666666
187,8669.166666666666,9.583333333333334,7772.6881416666665,462.9335,337.14389166666666,80.18979166666665,16.211341666666666
188,8669.166666666666,10.0,7772.6881416666665,462.9335,337.14389166666666,80.18979166666665,16.211341666666666
189,8669.166666666666,10.416666666666668,7772.6881416666665,462.9335,337.14389166666666,80.18979166666665,16.211341666666666
190,8669.166666666666,10.833333333333334,7772.6881416666665,462.9335,337.14389166666666,80.18979166666665,16.211341666666666
191,8669.166666666666,11.25,7772.6881416666665,462.9335,337.14389166666666,80.18979166666665,16.211341666666666
192,8669.166666666666,11.666666666666668,7772.6881416666665,462.9335,337.14389166666666,80.18979166666665,16.211341666666666
193,8669.166666666666,12.083333333333334,7772.6881416666665,462.9335,337.14389166666666,80.18979166666665,16.211341666666666
194,8669.166666666666,12.5,7772.6881416666665,462.9335,337.14389166666666,80.18979166666665,16.211341666666666
195,8669.166666666666,12.916666666666668,7772.6881416666665,462.9335,337.14389166666666,80.18979166666665,16.211341666666666
196,8669.166666666666,13.333333333333334,7772.6881416666665,462.9335,337.14389166666666,80.18979166666665,16.211341666666666
197,8669.166666666666,13.75,7772.6881416666665,462.9335,337.14389166666666,80.18979166666665,16.211341666666666
198,8669.166666666666,14.166666666666668,7772.6881416666665,462.9335,337.14389166666666,80.18979166666665,16.211341666666666
199,8669.166666666666,14.583333333333334,7772.6881416666665,462.9335,337.14389166666666,80.18979166666665,16.211341666666666
200,8669.166666666666,15.0,7772.6881416666665,462.9335,337.14389166666666,80.18979166666665,16.211341666666666
201,8693.333333333334,5.0,7794.355733333334,464.22400000000005,338.0837333333334,80.41333333333334,16.256533333333334
202,8693.333333333334,5.416666666666667,7794.355733333334,464.22400000000005,338.0837333333334,80.41333333333334,16.256533333333334
203,8693.333333333334,5.833333333333333,7794.355733333334,464.22400000000005,338.0837333333334,80.41333333333334,16.256533333333334
204,8693.333333333334,6.25,7794.355733333334,464.22400000000005,338.0837333333334,80.41333333333334,16.256533333333334
205,8693.333333333334,6.666666666666667,7794.355733333334,464.22400000000005,338.0837333333334,80.41333333333334,16.256533333333334
206,8693.333333333334,7.083333333333334,7794.355733333334,464.22400000000005,338.0837333333334,80.41333333333334,16.256533333333334
207,8693.333333333334,7.5,7794.355733333334,464.22400000000005,338.0837333333334,80.41333333333334,16.256533333333334
208,8693.333333333334,7.916666666666667,7794.355733333334,464.22400000000005,338.0837333333334,80.41333333333334,16.256533333333334
209,8693.333333333334,8.333333333333334,7794.355733333334,464.22400000000005,338.0837333333334,80.41333333333334,16.256533333333334
210,8693.333333333334,8.75,7794.355733333334,464.22400000000005,338.0837333333334,80.41333333333334,16.256533333333334
211,8693.333333333334,9.166666666666668,7794.355733333334,464.22400000000005,338.0837333333334,80.41333333333334,16.256533333333334
212,8693.333333333334,9.583333333333334,7794.355733333334,464.22400000000005,338.0837333333334,80.41333333333334,16.256533333333334
213,8693.333333333334,10.0,7794.355733333334,464.22400000000005,338.0837333333334,80.41333333333334,16.256533333333334
214,8693.333333333334,10.416666666666668,7794.355733333334,464.22400000000005,338.0837333333334,80.41333333333334,16.256533333333334
215,8693.333333333334,10.833333333333334,7794.355733333334,464.22400000000005,338.0837333333334,80.41333333333334,16.256533333333334
216,8693.333333333334,11.25,7794.355733333334,464.22400000000005,338.0837333333334,80.41333333333334,16.256533333333334
217,8693.333333333334,11.666666666666668,7794.355733333334,464.22400000000005,338.0837333333334,80.41333333333334,16.256533333333334
218,8693.333333333334,12.083333333333334,7794.355733333334,464.22400000000005,338.0837333333334,80.41333333333334,16.256533333333334
219,8693.333333333334,12.5,7794.355733333334,464.22400000000005,338.0837333333334,80.41333333333334,16.256533333333334
220,8693.333333333334,12.916666666666668,7794.355733333334,464.22400000000005,338.0837333333334,80.41333333333334,16.256533333333334
221,8693.333333333334,13.333333333333334,7794.355733333334,464.22400000000005,338.0837333333334,80.41333333333334,16.256533333333334
222,8693.333333333334,13.75,7794.355733333334,464.22400000000005,338.0837333333334,80.41333333333334,16.256533333333334
223,8693.333333333334,14.166666666666668,7794.355733333334,464.22400000000005,338.0837333333334,80.41333333333334,16.256533333333334
224,8693.333333333334,14.583333333333334,7794.355733333334,464.22400000000005,338.0837333333334,80.41333333333334,16.256533333333334
225,8693.333333333334,15.0,7794.355733333334,464.22400000000005,338.0837333333334,80.41333333333334,16.256533333333334
226,8717.5,5.0,7816.023325,465.5145,339.023575,80.63687499999999,16.301724999999998
227,8717.5,5.416666666666667,7816.023325,465.5145,339.023575,80.63687499999999,16.301724999999998
228,8717.5,5.833333333333333,7816.023325,465.5145,339.023575,80.63687499999999,16.301724999999998
229,8717.5,6.25,7816.023325,465.5145,339.023575,80.63687499999999,16.301724999999998
230,8717.5,6.666666666666667,7816.023325,465.5145,339.023575,80.63687499999999,16.301724999999998
231,8717.5,7.083333333333334,7816.023325,465.5145,339.023575,80.63687499999999,16.301724999999998
232,8717.5,7.5,7816.023325,465.5145,339.023575,80.63687499999999,16.301724999999998
233,8717.5,7.916666666666667,7816.023325,465.5145,339.023575,80.63687499999999,16.301724999999998
234,8717.5,8.333333333333334,7816.023325,465.5145,339.023575,80.63687499999999,16.301724999999998
235,8717.5,8.75,7816.023325,465.5145,339.023575,80.63687499999999,16.301724999999998
236,8717.5,9.166666666666668,7816.023325,465.5145,339.023575,80.63687499999999,16.301724999999998
237,8717.5,9.583333333333334,7816.023325,465.5145,339.023575,80.63687499999999,16.301724999999998
238,8717.5,10.0,7816.023325,465.5145,339.023575,80.63687499999999,16.301724999999998
239,8717.5,10.416666666666668,7816.023325,465.5145,339.023575,80.63687499999999,16.301724999999998
240,8717.5,10.833333333333334,7816.023325,465.5145,339.023575,80.63687499999999,16.301724999999998
241,8717.5,11.25,7816.023325,465.5145,339.023575,80.63687499999999,16.301724999999998
242,8717.5,11.666666666666668,7816.023325,465.5145,339.023575,80.63687499999999,16.301724999999998
243,8717.5,12.083333333333334,7816.023325,465.5145,339.023575,80.63687499999999,16.301724999999998
244,8717.5,12.5,7816.023325,465.5145,339.023575,80.63687499999999,16.301724999999998
245,8717.5,12.916666666666668,7816.023325,465.5145,339.023575,80.63687499999999,16.301724999999998
246,8717.5,13.333333333333334,7816.023325,465.5145,339.023575,80.63687499999999,16.301724999999998
247,8717.5,13.75,7816.023325,465.5145,339.023575,80.63687499999999,16.301724999999998
248,8717.5,14.166666666666668,7816.023325,465.5145,339.023575,80.63687499999999,16.301724999999998
249,8717.5,14.583333333333334,7816.023325,465.5145,339.023575,80.63687499999999,16.301724999999998
250,8717.5,15.0,7816.023325,465.5145,339.023575,80.63687499999999,16.301724999999998
251,8741.666666666666,5.0,7837.690916666666,466.805,339.96341666666666,80.86041666666665,16.346916666666665
252,8741.666666666666,5.416666666666667,7837.690916666666,466.805,339.96341666666666,80.86041666666665,16.346916666666665
